joueurId(Number);tour(Number);caseId(String);natureFond(String);bathymetrie(String);estEnregistre(Boolean);estMemorise(Boolean);type(Symbol)
2;2;O48;sable;cote;true;false;Plaisancier
2;2;N49;sable;cote;true;false;Plaisancier
2;2;M48;sable;cote;true;false;Plaisancier
2;2;K47;vase;cote;true;false;Dauphin
2;2;N42;vase;plateau;true;false;Dauphin
2;2;N40;vase;plateau;true;false;FouDeBassan
2;2;N40;vase;plateau;true;false;Dauphin
2;2;O40;vase;plateau;true;false;Dauphin
2;2;N38;vase;plateau;true;false;FouDeBassan
2;2;P35;sable;plateau;true;false;NavireCommerce
2;2;O34;sable;plateau;true;false;FouDeBassan
2;2;S32;vase;plateau;true;false;FouDeBassan
2;2;T33;rocher;plateau;true;false;NavireEspagnol
2;2;S27;rocher;plateau;true;false;FouDeBassan
2;2;T27;rocher;plateau;true;false;FouDeBassan
2;2;W28;rocher;plateau;true;false;Dauphin
2;2;X28;rocher;plateau;true;false;FouDeBassan
2;2;Y28;rocher;plateau;true;false;FouDeBassan
2;2;W25;vase;plateau;true;false;FouDeBassan
2;2;U24;vase;plateau;true;false;FouDeBassan
2;2;Y24;vase;plateau;true;false;FouDeBassan
2;2;Y23;vase;plateau;true;false;Dauphin
1;2;N48;sable;cote;true;false;FouDeBassan
1;2;M49;sable;cote;true;false;Plaisancier
1;2;K48;sable;cote;true;false;Plaisancier
1;2;O48;sable;cote;true;false;Plaisancier
1;2;N49;sable;cote;true;false;Plaisancier
1;2;M48;sable;cote;true;false;Plaisancier
1;2;K47;vase;cote;true;false;Dauphin
1;2;N42;vase;plateau;true;false;Dauphin
1;2;K41;vase;plateau;true;false;FouDeBassan
1;2;N40;vase;plateau;true;false;Dauphin
1;2;N40;vase;plateau;true;false;FouDeBassan
1;2;O40;vase;plateau;true;false;Dauphin
1;2;N38;vase;plateau;true;false;FouDeBassan
1;2;O34;sable;plateau;true;false;FouDeBassan
1;2;P35;sable;plateau;true;false;NavireCommerce
1;2;M35;sable;plateau;true;false;FouDeBassan
1;2;O32;vase;plateau;true;false;Plaisancier
1;2;S32;vase;plateau;true;false;FouDeBassan
2;2;Y31;rocher;plateau;true;false;NavireEspagnol
2;2;Y34;vase;plateau;true;false;FouDeBassan
2;2;V36;vase;plateau;true;false;FouDeBassan
2;2;X36;vase;plateau;true;false;FouDeBassan
2;2;T35;vase;plateau;true;false;FouDeBassan
2;2;T40;vase;plateau;true;false;Dauphin
2;2;X40;vase;plateau;true;false;FouDeBassan
2;2;T42;vase;plateau;true;false;FouDeBassan
2;2;R43;vase;plateau;true;false;FouDeBassan
2;2;R44;vase;cote;true;false;FouDeBassan
2;2;R46;vase;cote;true;false;Plaisancier
2;2;P46;vase;cote;true;false;Dauphin
2;2;P47;sable;cote;true;false;Plaisancier
2;2;Q47;sable;cote;true;false;Plaisancier
2;2;Q48;sable;cote;true;false;Plaisancier
1;2;S27;rocher;plateau;true;false;FouDeBassan
1;2;R25;vase;plateau;true;false;Dauphin
1;2;T27;rocher;plateau;true;false;FouDeBassan
1;2;T33;rocher;plateau;true;false;NavireEspagnol
1;2;T35;vase;plateau;true;false;FouDeBassan
1;2;R38;vase;plateau;true;false;FouDeBassan
1;2;T40;vase;plateau;true;false;Dauphin
1;2;R43;vase;plateau;true;false;FouDeBassan
1;2;T42;vase;plateau;true;false;FouDeBassan
1;2;R44;vase;cote;true;false;FouDeBassan
1;2;R46;vase;cote;true;false;Plaisancier
1;2;P46;vase;cote;true;false;Dauphin
1;2;Q47;sable;cote;true;false;Plaisancier
1;2;P47;sable;cote;true;false;Plaisancier
1;2;Q48;sable;cote;true;false;Plaisancier
2;3;L48;sable;cote;false;true;NavireCommerce
2;3;M47;vase;cote;false;true;Plaisancier
2;3;K48;sable;cote;false;true;Plaisancier
2;3;L47;vase;cote;false;true;Plaisancier
2;3;L45;vase;cote;false;true;NavireCommerce
2;3;O31;vase;plateau;false;true;Dauphin
2;3;P31;vase;plateau;false;true;Tortue
2;3;X25;vase;plateau;false;true;Dauphin
2;3;R37;vase;plateau;false;true;FouDeBassan
1;3;L48;sable;cote;false;false;NavireCommerce
1;3;K48;sable;cote;false;false;Plaisancier
1;3;L47;vase;cote;false;false;Plaisancier
1;3;M47;vase;cote;false;false;Plaisancier
1;3;L45;vase;cote;false;false;NavireCommerce
1;3;I46;rocher;cote;false;false;FouDeBassan
2;3;H44;rocher;cote;false;true;Dauphin
2;3;G44;rocher;cote;false;true;FouDeBassan
2;3;F47;rocher;cote;false;true;Plaisancier
2;3;G47;rocher;cote;false;true;Plaisancier
2;3;I46;rocher;cote;false;true;FouDeBassan
2;3;H47;rocher;cote;false;true;Plaisancier
2;3;H48;rocher;cote;false;true;Plaisancier
2;3;I48;rocher;cote;false;true;Plaisancier
2;4;N48;sable;cote;false;false;FouDeBassan
2;4;N48;sable;cote;false;false;Plaisancier
2;4;M49;sable;cote;false;false;Plaisancier
2;4;K48;sable;cote;false;false;Plaisancier
2;4;O48;sable;cote;false;false;Plaisancier
2;4;N49;sable;cote;false;false;Plaisancier
2;4;M44;vase;plateau;false;false;FouDeBassan
2;4;O43;vase;plateau;false;false;FouDeBassan
2;4;K42;vase;plateau;false;false;NavireCommerce
2;4;O38;vase;plateau;false;false;FouDeBassan
2;4;M35;sable;plateau;false;false;FouDeBassan
2;4;O37;vase;plateau;false;false;Plaisancier
2;4;L34;sable;plateau;false;false;FouDeBassan
2;4;N30;vase;plateau;false;false;FouDeBassan
2;4;K27;vase;plateau;false;false;Marsouin
2;4;K20;vase;plateau;false;false;Dauphin
2;4;N17;vase;plateau;false;false;FouDeBassan
2;4;O18;vase;plateau;false;false;FouDeBassan
2;4;O12;vase;plateau;false;false;FouDeBassan
2;4;R12;vase;plateau;false;false;NavireEspagnol
2;4;R10;vase;plateau;false;false;FouDeBassan
